Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01 09:30:00-04:00,,,264.260009765625,372.05999755859375,610.205810546875,85.44499969482422,,266.6300048828125,373.6499938964844,635.7498779296875,87.2249984741211,,262.30999755859375,369.7099914550781,609.8499755859375,85.38999938964844,,266.2900085449219,372.281005859375,629.4149780273438,85.79000091552734,,12292922,4376541,6161308,7934446
2026-06-01 10:30:00-04:00,,,264.0498962402344,371.82000732421875,613.3699951171875,85.7300033569336,,264.75,373.7799987792969,616.0399780273438,85.87000274658203,,262.75,371.20001220703125,609.030029296875,85.31500244140625,,264.260009765625,372.0899963378906,610.0700073242188,85.44000244140625,,5899992,1527601,3400383,5778733
2026-06-01 11:30:00-04:00,,,262.6899108886719,371.0920104980469,611.75,85.95249938964844,,264.95001220703125,372.57000732421875,616.7896728515625,86.08000183105469,,261.5,370.7099914550781,610.4099731445312,85.55999755859375,,264.0400085449219,371.79998779296875,613.4000244140625,85.72000122070312,,6461516,1167026,2286727,3458311
2026-06-01 12:30:00-04:00,,,261.8699951171875,374.0199890136719,610.3499755859375,85.93499755859375,,263.1300048828125,374.05499267578125,612.3599853515625,86.15499877929688,,260.70001220703125,370.8949890136719,607.77001953125,85.6050033569336,,262.7250061035156,371.07000732421875,611.780029296875,85.95500183105469,,5258392,1494102,2160577,2733829
2026-06-01 13:30:00-04:00,,,262.3500061035156,373.3500061035156,607.6589965820312,85.83499908447266,,262.8500061035156,374.4599914550781,611.6699829101562,86.02999877929688,,261.32000732421875,371.57000732421875,606.280029296875,85.58499908447266,,261.8699951171875,374.07000732421875,610.3099975585938,85.93499755859375,,4873343,1383264,3293086,2650038
2026-06-01 14:30:00-04:00,,,263.6499938964844,374.3900146484375,605.489990234375,85.96150207519531,,264.1600036621094,374.4100036621094,608.4000244140625,86.22000122070312,,262.32000732421875,373.0400085449219,604.8599853515625,85.75499725341797,,262.3550109863281,373.3349914550781,607.72998046875,85.83000183105469,,5143781,1178161,3463618,3177544
2026-06-01 15:30:00-04:00,,,261.239990234375,372.5799865722656,600.3699951171875,85.83499908447266,,263.7300109863281,374.6000061035156,605.9199829101562,86.06999969482422,,261.0,372.3599853515625,599.530029296875,85.80000305175781,,263.6499938964844,374.3599853515625,605.4000244140625,85.96499633789062,,6116509,1238155,4398491,3076964
2026-06-02 09:30:00-04:00,,,257.7799987792969,367.0199890136719,603.2050170898438,84.04000091552734,,258.0,367.44189453125,605.77001953125,85.97989654541016,,254.3699951171875,355.0,596.6799926757812,83.45999908447266,,257.1600036621094,363.2799987792969,603.3499755859375,85.6050033569336,,11580176,11579040,5067468,9903246
2026-06-02 10:30:00-04:00,,,260.67999267578125,366.2449951171875,607.3699951171875,83.67500305175781,,261.2025146484375,369.7898864746094,608.8800048828125,84.2699966430664,,257.760009765625,365.8800048828125,602.8049926757812,83.66999816894531,,257.8099060058594,366.9700012207031,603.1900024414062,84.05000305175781,,5378234,3200556,2132122,4934621
2026-06-02 11:30:00-04:00,,,259.2200012207031,363.8399963378906,607.4099731445312,84.1449966430664,,260.7699890136719,366.2300109863281,608.3699951171875,84.2300033569336,,258.4200134277344,362.67010498046875,605.4000244140625,83.58999633789062,,260.70001220703125,366.2149963378906,607.3051147460938,83.67500305175781,,3317773,2414535,1709185,4590795
2026-06-02 12:30:00-04:00,,,257.625,363.9800109863281,606.22998046875,84.38500213623047,,259.25,365.4049987792969,608.2999877929688,84.39749908447266,,257.5899963378906,363.2799987792969,605.4299926757812,84.04499816894531,,259.2298889160156,363.82550048828125,607.4400024414062,84.1449966430664,,2380703,1549838,815786,3107703
2026-06-02 13:30:00-04:00,,,258.1499938964844,361.2149963378906,604.7000122070312,83.68499755859375,,258.5799865722656,364.8800048828125,606.3900146484375,84.41000366210938,,257.3310852050781,361.0849914550781,604.5,83.6500015258789,,257.6199951171875,364.010009765625,606.155029296875,84.38500213623047,,3407560,1785136,838253,2944575
2026-06-02 14:30:00-04:00,,,257.92498779296875,360.5199890136719,600.64501953125,83.41999816894531,,258.5799865722656,362.1700134277344,604.97998046875,83.80999755859375,,257.75,360.4100036621094,600.2100219726562,83.39009857177734,,258.1300048828125,361.2300109863281,604.6849975585938,83.68000030517578,,2547452,2020291,1475884,5334753
2026-06-02 15:30:00-04:00,,,256.5,358.5,597.6599731445312,83.31999969482422,,258.17999267578125,360.7900085449219,600.8599853515625,83.61499786376953,,256.3500061035156,357.8500061035156,597.260009765625,83.29000091552734,,257.9200134277344,360.5299987792969,600.6699829101562,83.41500091552734,,4726240,4366142,2314799,6102161
2026-06-03 09:30:00-04:00,,,252.72500610351562,357.6600036621094,616.2550048828125,81.80999755859375,,257.0899963378906,362.5,619.3800048828125,83.30000305175781,,252.58999633789062,357.19000244140625,600.27001953125,81.80000305175781,,254.6999969482422,358.3349914550781,602.989990234375,82.88999938964844,,10255887,13132128,6557720,8714236
