Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21 14:30:00+00:00,269.8500061035156,216.26499938964844,296.760009765625,585.1199951171875,105.88999938964844,270.45001220703125,217.91000366210938,301.9200134277344,596.0,106.52999877929688,265.82000732421875,215.27000427246094,295.56280517578125,584.9299926757812,104.4000015258789,265.8800048828125,216.3800048828125,297.2900085449219,588.5,105.0,10658658,11194304,9999227,3693066,5084200
2025-11-21 15:30:00+00:00,270.8999938964844,218.5749969482422,300.3299865722656,587.74267578125,105.23999786376953,271.4700012207031,218.61000061035156,301.8299865722656,587.9099731445312,106.0,269.2200012207031,215.25,294.3599853515625,581.8599853515625,104.81999969482422,269.7900085449219,216.27000427246094,296.739990234375,585.1199951171875,105.88999938964844,4761138,6341071,4010585,2007970,2461936
2025-11-21 16:30:00+00:00,270.54998779296875,219.63999938964844,296.489990234375,592.97998046875,105.22000122070312,271.1199951171875,220.72300720214844,300.375,593.9093017578125,105.54000091552734,269.80999755859375,216.91000366210938,295.6600036621094,586.4130859375,104.95999908447266,270.8900146484375,218.5749969482422,300.3399963378906,587.7999877929688,105.23999786376953,2949033,6048938,2730646,1489299,2552825
2025-11-21 17:30:00+00:00,270.9800109863281,218.7220001220703,297.2900085449219,591.625,104.94499969482422,271.6000061035156,220.0850067138672,298.17999267578125,595.0,105.69000244140625,270.20001220703125,218.00999450683594,295.8299865722656,589.0700073242188,104.80000305175781,270.6300048828125,219.75,296.5849914550781,593.0001220703125,105.20999908447266,2023820,3049149,1393147,1093645,1815537
2025-11-21 18:30:00+00:00,272.6099853515625,222.0500030517578,302.66009521484375,597.548583984375,105.28600311279297,273.31500244140625,222.10000610351562,303.9599914550781,598.1199951171875,105.6500015258789,270.864990234375,218.58999633789062,297.06500244140625,591.1799926757812,104.81999969482422,270.9800109863281,218.7100067138672,297.260009765625,591.530029296875,104.93000030517578,3562846,3506398,3613249,1107144,2501464
2025-11-21 19:30:00+00:00,271.3699951171875,220.18499755859375,299.94500732421875,594.0700073242188,104.92500305175781,273.2799987792969,222.20199584960938,302.9200134277344,597.739990234375,105.45999908447266,271.3500061035156,220.17999267578125,299.94500732421875,594.010009765625,104.79000091552734,272.57501220703125,222.07000732421875,302.6499938964844,597.5349731445312,105.27999877929688,3135966,3265276,2460119,1133638,2592012
2025-11-21 20:30:00+00:00,271.489990234375,220.64500427246094,299.6600036621094,594.469970703125,104.3499984741211,272.1300048828125,221.32000732421875,301.44000244140625,596.0900268554688,105.04000091552734,270.5899963378906,219.88999938964844,298.80999755859375,593.260009765625,103.80999755859375,271.3500061035156,220.13999938964844,299.92999267578125,594.0499877929688,104.91999816894531,18794685,4137911,3148283,1341529,4721730
2025-11-24 14:30:00+00:00,273.0950012207031,225.8699951171875,316.8794860839844,611.3499755859375,104.33499908447266,275.9200134277344,226.7899932861328,318.54998779296875,611.8798828125,105.12999725341797,270.8999938964844,222.2899932861328,309.40008544921875,597.630126953125,103.31999969482422,270.8999938964844,222.5800018310547,310.7850036621094,598.719970703125,104.25,7995693,8170085,10624903,4179737,5611699
