Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-04 14:30:00+00:00,281.2250061035156,228.77499389648438,317.510009765625,665.72998046875,102.54000091552734,284.7300109863281,232.69000244140625,321.5400085449219,669.2000122070312,103.63999938964844,280.2699890136719,228.05999755859375,315.6000061035156,660.1099853515625,102.26000213623047,284.1099853515625,232.64500427246094,321.010009765625,666.4249877929688,102.93000030517578,6410843,7888562,4390383,10059794,9053564
2025-12-04 15:30:00+00:00,280.2799987792969,227.89999389648438,316.80999755859375,664.8499755859375,102.12000274658203,281.6000061035156,228.87840270996094,317.7799987792969,667.5900268554688,102.83999633789062,279.80999755859375,226.8000030517578,315.9549865722656,662.0800170898438,102.06999969482422,281.2099914550781,228.75999450683594,317.44000244140625,665.6500244140625,102.53500366210938,2986361,6415080,1177250,2532344,5711567
2025-12-04 16:30:00+00:00,280.114990234375,227.1699981689453,317.06500244140625,668.1900024414062,102.27999877929688,280.9335021972656,227.9600067138672,317.7040100097656,669.6699829101562,102.54000091552734,279.93780517578125,227.1300048828125,316.6300048828125,664.4600219726562,101.7699966430664,280.2850036621094,227.8636016845703,316.7699890136719,664.739990234375,102.11499786376953,2285394,3404612,1003034,1608145,4164476
2025-12-04 17:30:00+00:00,280.0050048828125,228.3000030517578,317.68499755859375,664.7650146484375,102.96890258789062,280.4866943359375,228.3699951171875,318.6549987792969,668.3400268554688,103.11000061035156,279.6400146484375,227.11000061035156,316.4800109863281,661.8699951171875,102.20999908447266,280.1300048828125,227.1999969482422,317.0775146484375,668.2050170898438,102.28500366210938,1806229,2964488,882040,1307691,3153877
2025-12-04 18:30:00+00:00,278.8599853515625,228.30999755859375,317.281005859375,662.7999267578125,103.06500244140625,280.1000061035156,228.9600067138672,318.1499938964844,665.489990234375,103.29000091552734,278.5899963378906,227.89500427246094,316.7300109863281,662.260009765625,102.80999755859375,279.989990234375,228.2899932861328,317.6000061035156,664.7100219726562,102.96499633789062,2574486,2892836,805792,879092,2575441
2025-12-04 19:30:00+00:00,280.125,228.7082061767578,317.9949951171875,660.6343994140625,103.4197998046875,280.7300109863281,229.4499969482422,318.260009765625,664.2050170898438,103.55000305175781,278.82000732421875,228.1750030517578,317.19000244140625,660.0499877929688,103.02999877929688,278.8599853515625,228.30999755859375,317.2699890136719,662.6300048828125,103.05999755859375,2807996,2591626,912064,1141839,2127964
2025-12-04 20:30:00+00:00,280.6499938964844,229.10000610351562,318.3900146484375,661.72998046875,103.22000122070312,280.69000244140625,229.25999450683594,318.44000244140625,662.8399047851562,103.80000305175781,279.5799865722656,228.0,317.5,660.1300048828125,102.79000091552734,280.1199951171875,228.7100067138672,317.9700012207031,660.5499877929688,103.41000366210938,3165508,2721209,1250120,10384349,3921154
2025-12-05 14:30:00+00:00,280.4551086425781,230.9384002685547,322.4649963378906,670.9849853515625,104.66500091552734,281.1400146484375,231.1699981689453,323.8299865722656,673.5,104.7300033569336,279.2699890136719,229.80999755859375,320.0,662.4149780273438,97.73999786376953,280.5400085449219,230.3800048828125,320.0,664.5,98.69000244140625,4393145,4965629,3363481,3614338,29574869
